INFO 2025-04-10 11:24:30,580 basehttp 103267 140266413471296 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-04-10 11:24:30,622 basehttp 103267 140266413471296 "GET /admin/ HTTP/1.1" 200 10489
WARNING 2025-04-10 11:24:30,716 log 103267 140266413471296 Not Found: /static/admin/css/base.css
WARNING 2025-04-10 11:24:30,717 basehttp 103267 140266413471296 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:30,722 log 103267 140266438649408 Not Found: /static/admin/css/dashboard.css
WARNING 2025-04-10 11:24:30,723 basehttp 103267 140266438649408 "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:30,733 log 103267 140266447042112 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-04-10 11:24:30,735 basehttp 103267 140266447042112 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:30,759 log 103267 140266430256704 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-04-10 11:24:30,760 basehttp 103267 140266430256704 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:30,771 log 103267 140266396685888 Not Found: /static/admin/css/responsive.css
WARNING 2025-04-10 11:24:30,773 basehttp 103267 140266396685888 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:31,004 log 103267 140266396685888 Not Found: /static/admin/js/theme.js
WARNING 2025-04-10 11:24:31,007 log 103267 140266430256704 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-04-10 11:24:31,009 basehttp 103267 140266396685888 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:31,010 basehttp 103267 140266430256704 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:31,066 log 103267 140266405078592 Not Found: /static/admin/js/theme.js
WARNING 2025-04-10 11:24:31,067 basehttp 103267 140266405078592 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:31,079 log 103267 140266405078592 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-04-10 11:24:31,079 basehttp 103267 140266405078592 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
INFO 2025-04-10 11:24:43,882 basehttp 103267 140266447042112 "GET /admin/sms_api/user/ HTTP/1.1" 200 11825
WARNING 2025-04-10 11:24:43,934 log 103267 140266447042112 Not Found: /static/admin/css/base.css
WARNING 2025-04-10 11:24:43,935 basehttp 103267 140266447042112 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:43,948 log 103267 140266396685888 Not Found: /static/admin/css/changelists.css
WARNING 2025-04-10 11:24:43,949 basehttp 103267 140266396685888 "GET /static/admin/css/changelists.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:43,963 log 103267 140266447042112 Not Found: /static/admin/css/dark_mode.css
